Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
汀州路二段Y00,27.52238806,1.157482945,15.00%,泉州街,重慶南路二段
汀州路二段Z00,7.176573427,1.521955177,22.90%,重慶南路二段,同安街
汀州路三段,5.075039494,1.375722543,22.80%,辛亥路,基隆路
汀州路三段104巷,12.31724138,2.109963346,27.30%,汀州路三段,汀州路三段200巷
汀州路四段,150.7885057,1.971370365,13.80%,溪州街,基隆路
汀州路四段23巷,3.14987715,2.358444714,37.90%,汀州路四段,羅斯福路
汀州路一段A,36.34996163,1.496835805,17.30%,三元街,泉州街
汀州路一段B,36.89866157,1.851632471,16.80%,中華路,莒光路
汀洲路二段,4.354453627,2.045023412,44.90%,同安街,師大路
通河東街1段,218.1666667,1,4.50%,中正街,通河街179巷
通河東街2段,225.3333333,1,4.50%,承德路5段,中正路
通河西街1段,142.0034522,0.752961825,3.30%,中正路,中山高速公路橋下
通河西街1段,142.0034522,0.752961825,3.30%,中正路,中山高速公路橋下
通河西街2段,372.5206897,0.794215067,2.50%,延平北路6段,中正路
通河西街2段,372.5206897,0.794215067,2.50%,延平北路6段,中正路
通河西街一段堤外平面停車場,39.8040201,0.616314423,4.40%,,
通化街,13.037751,2.282575217,28.80%,信義路4段,樂利路
同德路,40.78014184,1.341490545,18.40%,玉成街,東新街80巷
銅山街,2.941176471,2.890243902,36.50%,杭州南路1段,臨沂街
萬大路,179.2781609,1.466667721,14.90%,莒光路,華中橋
萬大路277巷33弄,20.52,1.941588785,10.10%,中華路2段416巷,萬大路277巷
萬大路344巷,60.48735632,2.432222222,19.80%,萬大路,東園街
萬大路423巷,11.71299094,1.394304367,12.30%,萬大路,青年路
萬大平面廣場,162.0321839,2.423805206,16.10%,,
萬芳八號公園,120.22,1,2.30%,,
萬華火車站前廣場,47.07068366,1.788885268,22.00%,康定路上,
萬華火車站週邊,56.58505747,1.711208504,18.60%,西園路一段,康定路
萬美街1段,84.59541985,1.879093199,7.60%,萬寧街,和平東路4段
萬青街,1.200980392,1.853875476,33.10%,青年路68巷,萬大路423巷
萬慶平面廣場,27.09290954,2.078323301,16.20%,萬慶街48號對面廣場,
萬全街,10,1.3,10.80%,寧夏路,承德路2段
渭水路,13.32528736,1.747767294,23.00%,松江路,八德路
渭水路3巷,33.74022989,2.282448807,22.60%,渭水路,松江路25巷
文昌街,8.834196891,1,7.60%,敦化南路2段,基隆路2段
文昌路,27.37438424,1.565683882,26.70%,文昌橋,中正路
文德路,7.96875,1.596982759,24.20%,江南街,成功路3段
文德路101巷,2.991869919,2.003858875,36.60%,文德路,內湖路2段
文湖街,106.5119048,2.023144997,20.80%,內湖路一段,環山路一段
文化三路,25.29166667,1,8.50%,杏林一 路,中央北路2段
文林北路,91.70694319,0.376568262,2.20%,石牌橋,承德路6段
文林路,20.59933222,0.300822973,1.70%,石牌橋,士林橋
文林路A含機車,212.5352304,1,9.30%,小北街,基河路
文林路B,56.43095238,1.626321595,15.60%,士林橋,小北街
臥龍街,80.62392241,2.502956401,27.30%,和平東路3段406巷,和平東路3段531巷
臥龍街,80.62392241,2.502956401,27.30%,基隆路,富陽街
臥龍街,80.62392241,2.502956401,37.50%,和平東路3段406巷,和平東路3段531巷
臥龍街,80.62392241,2.502956401,37.50%,基隆路,富陽街
臥龍街272巷,17,2.160287081,20.50%,富陽街,臥龍街
吳興街,16.716916,2.498868961,26.60%,松仁路,吳興街600巷
吳興街220巷,61.58356164,1.928301998,10.40%,吳興街284巷,信安街103巷
吳興街600巷平面,27.00232019,3.089988044,26.40%,,
五常公園周邊,52.13793103,2.408471786,17.70%,五常公園東側,五常公園南側
五常街,94.89203085,1.832618376,20.30%,建國北路三段,民權東路三段39巷
五常街53巷,26.36781609,1.668759004,17.70%,五常街,民族東路
五分街,3.523809524,1.882352941,40.50%,康寧路3段,東湖路160巷
五原路,8.058252427,1.052142643,22.00%,太原路,承德路
武昌街一段A（累進計時）,8.646298472,1.195857951,32.00%,延平南路,重慶南路
武昌街一段B（含機車）,224.4369501,1,8.30%,懷寧街,博愛路
武昌街一段C（含機車）,216.5733042,1,8.00%,博愛路,中華路一段
西藏路125巷,74.04984177,2.268086241,13.20%,西藏路,青年路
西藏路199巷,82.24137931,2.291037492,13.90%,西藏路,民和街
西藏路A,133.2751678,1.151279515,10.00%,環河南路,艋舺大道
西藏路B,91.99885057,1.563069909,14.80%,萬大路,寶興街
西藏路C,100.0405933,1.518823401,13.60%,汀州路,萬大路
西昌街,57.05592105,1.799188332,17.00%,內江街,桂林路
西寧北路Y00,92.40217391,1.610642245,18.30%,民生西路,鄭州路
西寧北路Z00,34.60295567,1.406135251,11.60%,鄭州路,忠孝西路
西寧南路A,217.229736,1.131926424,13.00%,忠孝西路,成都路
西寧南路B,66.46350932,2.289729557,18.90%,內江街,桂林路
西園路二段,43.28045977,1.742022433,20.00%,莒光路,寶興街
西園路二段(仁濟公園周邊),5.013986014,1.53357438,17.30%,,
西園路一段,54.98133333,1.703605759,18.50%,和平西路三段,西園路一段282巷
西園路一段,54.98133333,1.703605759,18.50%,內江街,和平西路
仙岩路,89.6,1.668991572,16.00%,景華街,興隆路2段154巷
仙岩路,89.6,1.668991572,16.00%,興隆路2段154巷,仙岩路58巷口
襄陽路,32,1,14.00%,重慶南路,公園路
向陽路,8.325102881,1.681838171,23.60%,忠孝東路7段,南港路2段
向陽路(圓環周邊),24.6045977,2.220537262,18.00%,,
向陽路162巷,33.05,2.122800718,16.80%,重陽路187巷,重陽路57巷
小北街,27.63218391,1.868403766,26.60%,文林路,大東路
辛亥路7段,41.36,1.815724816,8.90%,木柵路1段,木新路3段
辛亥路二段A,41.83563218,1.697970749,20.40%,新生南路三段,建國南路
辛亥路二段B,26.26180945,2.391207391,34.30%,建國南路,復興南路
辛亥路三段157巷,34.74137931,2.040357789,23.80%,辛亥路三段,臥龍街
辛亥路一段,94.66854839,1.795389194,18.70%,汀州路,新生南路三段
辛亥橋下,146.6091954,2.339394788,13.50%,新生南路,溫州街
新東街,80.56017192,1.497426222,10.00%,富錦街,延壽街
新光路1段,24.3,1.539732994,49.80%,新光路2段,指南路2段
新光路二段A,27.64904863,0.24546808,7.10%,大車,
新光路二段B,24.19859579,1.345850005,13.60%,小車,
新光路二段C,633.4771242,0.36262026,2.60%,機車,
新湖1路128巷,111.3632184,1.160297682,12.20%,新湖2路,新湖1路
新湖1路36巷,32.98648649,2.280259886,29.10%,新湖2路,新湖1路
新湖1路A,212.8695652,1.657792776,11.30%,堤頂大道1段,舊宗路1段
新湖1路B,333.4782609,1.594248094,5.00%,舊宗路1段,新湖2路
新湖2路A,148.2758621,1.313129357,9.90%,堤頂大道1段,舊宗路1段
新湖2路B,186.4347826,1.523472747,12.10%,舊宗路1段,行善路
新湖二路,427.0218579,1.742766883,12.50%,舊宗路1段,堤頂大道1段
新湖二路146巷,35.51034483,1.679298699,27.40%,新湖三路,行愛路
新湖二路191巷,34.28735632,2.415829569,40.00%,新湖二路,新湖一路
新湖二路250巷,23.24137931,2.51342111,42.70%,新湖二路,新湖三路
新湖二路282巷,48.50236967,1.695390782,3.10%,新湖二路,新湖三路
新湖二路295巷,22.79577465,1.604997244,11.20%,新湖二路,新湖一路
新湖三路,437.7862069,1.621198883,7.40%,舊宗路,新湖二路
新湖三路219巷(無名巷三),36.73563218,2.87727329,36.40%,新湖三路,新湖二路
新湖一路,695.0601093,1.903908707,8.70%,堤頂大道1段,舊宗路1段
新湖一路339巷,23.34196891,1.857257097,17.20%,新湖一路,行善路
新湖一路358巷及27弄,31.14712644,1.922005067,26.10%,新湖一路,新湖三路
新民街,12.90789474,1.815004787,18.90%,三重路,惠民街
新明路,135.7852349,1.924223602,17.20%,新明路298巷,成功路2段
新生北路1段兩側,97.63364486,0.807395163,9.90%,市民大道,八德路
新生北路二段28巷,8.021216407,1.643592729,24.90%,林森北路,新生北路
新生北路橋下外圍,228.0521327,1.915005513,12.10%,南京東路,民生東路
新生北路三段,82.01149425,1.955294632,9.40%,民族東路,濱江街
新生北路三段Y00,19.35416667,1.733139144,11.60%,濱江街,中山北路
新生北路三段Z00,1.219373219,1.94079556,37.70%,農安街,德惠街
新生北路一段,23.66204986,1.341062176,17.30%,長安東路,松江路
新生北橋側,141.2981607,2.087421105,20.90%, 民權東路,民生東路
新生北橋下A(六),406.1772908,2.095893812,8.50%,南京東路,長安東路
新生北橋下A(七),171.4133466,1.998931031,13.00%,長安東路,新生廣場
新生北橋下B(四),103.6513944,2.199678554,9.00%,民生東路,長春路
新生北橋下B(五),54.26992032,2.118141933,14.30%,長春路,南京東路
新生北橋下C(二),79.28784861,2.40094064,14.10%,民權東路,錦州街
新生北橋下C(三),54.10956175,2.227353284,16.80%,錦州街,民生東路
新生北橋下D(一),457.186255,2.245979205,12.00%,民族東路,民權東路
新生廣場A,78.3247012,1.592759512,14.70%,新生北路口,松江路
新生南路三段,13.42600513,1.270421474,34.90%,和平東路,羅斯福路
新生南路一段,83.1423221,0.802279299,12.00%,八德路,忠孝東路
新行一機車平面停車場,196.25,0.494169096,1.00%,,
新中街,96.29827586,1.578216494,12.00%,新中街52巷,延壽街
新中街52巷,44,5.491525424,46.00%,富錦街429巷,新中街
新中街52巷,44,5.491525424,46.00%,富錦街429巷,新中街
信安街,84.12059065,2.404701909,22.60%,吳興街156巷,和平東路3段
信陽街（機車計次）,174,1,14.60%,公園路,館前路
信義路二段,38.6645768,1.322149219,22.90%,杭州南路,新生南路
信義路二段44巷,7.38253012,1.56391373,22.70%,信義路,金山南路二段30巷
信義路四段186巷,40.6045977,2.250552556,27.10%,信義路四段,敦化南路二段63巷
信義路四段199巷,19.28735632,2.087463,32.60%,信義路四段,敦化南路一段295巷
信義路五段150巷,87.51724138,2.279279975,19.40%,松勤街,信義路五段150巷14弄
信義路五段150巷401弄,124.0038388,2.875920263,19.70%,信義路五段,信義路五段150巷401弄
信義路五段150巷平面,22.95722543,2.588129334,18.10%,,
信義路五段91巷(含12弄及15弄),5.312807882,2.198836081,32.30%,松德路200巷,信義路5段
星雲街,81.70175439,1.984757686,20.40%,成功路3段,金湖路
行愛路,257.5609195,1.412045924,8.50%,行善路,行忠路
行愛路141巷,102.5563218,1.942190774,15.80%,行愛路,新湖二路250巷
行愛路77巷,84.13563218,1.747011885,17.70%,行愛路,新湖一路358巷
行愛路78巷,59.16091954,2.153078596,25.30%,行愛路,新湖二路191巷
行善路,129.7310345,1.984211597,21.60%,行忠路,堤頂大道1段
行善路111巷,33.15,2.238445378,24.10%,行善路,南京東路6段
行善路168巷,79.90322581,2.65475915,20.70%,新湖1路,行善路
行善路48巷,34.85057471,2.449602304,29.50%,新湖1路,行善路
行善路59巷20弄,18.4,2.58629776,26.70%,行善路59巷,行善路111巷
行善路59巷40弄,29.76,2.4,22.90%,行善路59巷,行善路111巷
行一大客車平面停車場,41.61397059,0.880354774,17.80%,,
行一機車平面停車場,454.9257642,0.860691111,1.70%,,
行忠路,508.1425287,1.901351414,7.00%,舊宗路,行善路
行忠路(大型車),14.77590361,0.911764706,7.90%,民權東路6段46巷,行善路
行忠路28巷,44.93087558,1.64509939,21.40%,行忠路,新湖三路
行忠路66巷,24.42263279,1.803882605,13.90%,行忠路,新湖三路
行忠路72巷,29.83953488,1.746809245,9.90%,行忠路,新湖三路
興安街Y00,2.039215686,2.44344473,57.90%,復興北路,慶城街
興安街Z00,121.3839428,1.548900396,16.10%,建國北路,復興北路
興東街,6.886235955,1.720623145,29.60%,南港路一段,惠民街
興華路,36.90933333,1.021777866,14.00%,重陽路,南港路一段
興隆路2段,65.02898551,1.418760757,7.70%,景隆街,辛亥路4段
興隆路3段,79.47619048,1.688516746,17.60%,辛亥路4段,興隆路3段
興隆路4段,104.2465753,1.524110173,15.90%,興隆路4段,木新路3段
興隆路一段,120.4120879,1.666051834,14.10%,羅斯福路,景興街
興義街,67.79195402,2.068055934,25.70%,西園路二段320巷,環河南路3段
興中路,77.2202381,1.347045508,11.10%,重陽路,南港路一段
興中路12巷,41.80229885,1.01528438,10.50%,興中路,興華路
興中路28巷,58.05057471,1.266510515,12.30%,興中路,興華路
興中路44巷,31.91724138,1.33471786,11.90%,興中路,興華路
興中路56巷,1,1,14.10%,興中路,興華路
秀明路1段,184.47,1.853517041,8.70%,木柵路2段,新光路2段
秀明路2段,41.61,2.108462055,18.90%,新光路2段,萬壽路
秀山路,36.83333333,1,3.60%,中和街502巷5弄,稻香路
徐州路,276.6390805,1.757739257,15.50%,中山南路,杭州南路
許昌街（含機車）,112.1692308,1.00055366,16.00%,館前路,公園路
延吉街,54.28328173,1.936155507,22.40%,市民大道,光復南路
延平北路4段294巷,69.77314815,1.929091217,4.70%,延平北路4段,環河北路2段
延平北路4至5段1巷,206.8137931,1.554876374,6.30%,敦煌路,延平北路5段1巷
延平北路6段,14.77777778,1.710526316,15.30%,通河西街2段,中正路
延平北路四段,85.00188857,1.816754525,13.30%,酒泉街,民族西路
延平北路五段1巷廣場,269.4758621,2.882094429,9.40%,,
延平南路A（累進計時）,84.75545852,1.762105414,14.70%,忠孝西路,愛國西路
延平南路B（計時）,113.108046,1.117399823,17.00%,愛國西路,和平西路
延平南路C（含機車）,404.038835,1.000232198,11.60%,忠孝西路,武昌街
延壽街314巷,21.58986175,1.923934643,23.20%,延壽街,三民路43巷
延壽街330巷,29.13103448,2.319420076,24.80%,延壽街,健康路
延壽街330巷16弄,10.77829099,2.825989209,33.70%,延壽街330巷,延壽街356巷
延壽街330巷7弄,5.696551724,2.253235163,50.90%,健康路225巷,延壽街330巷
延壽街330巷7弄,5.696551724,2.253235163,50.90%,延壽街330巷,健康路225巷
延壽街330巷8弄,22.09677419,2.600374482,25.30%,延壽街330巷,延壽街356巷
延壽街72巷,56.89516129,2.280363361,19.10%,延壽街,健康路
延壽街A,32.48071749,2.105113876,15.90%,新中街,光復北路
延壽街B,172.6590724,1.780157641,17.00%,塔悠路,新中街
研究院路1段101巷,269.1218391,2.126573104,3.40%,富康街,研究院路1段
陽光街,63.62,2.143944637,18.30%,舊宗路2段,成功路3段
陽光街252巷,46.97388466,1.407282297,11.90%,瑞光路188巷,陽光街
陽光街321巷,174.816092,1.485735038,10.30%,陽光街,瑞湖街
陽光街345巷,75.84137931,1.010533572,6.90%,陽光街,陽光街321巷
陽光街365巷,140.3413793,1.02115269,5.60%,陽光街,陽光街321巷
一江街A,44.24827586,1.878760412,24.00%,南京東路,長春路
一江街B,13.49473684,1.541690722,22.40%,南京東路,松江路90巷
伊通街A,12.26104746,1.740497404,30.20%,南京東路,長春街
伊通街B,24.13793103,1.842685527,26.00%,長安東路,南京東路
伊通街C,28,1.915011189,26.50%,伊通公園周邊,
逸仙公園西側無名巷,120.735023,1,12.20%,市民大道,北平西路
迎風廣場平面,235.533437,0.424847859,0.60%,,
迎風廣場七號水門堤外平面大車停車場,52.82451253,0.372939021,0.90%,基隆河大佳段,
永福街,40.44208038,1.778326777,13.50%,西寧南路,康定路
永吉路120巷,124.1724138,2.450466995,14.40%,永吉路,忠孝東路五段
永吉路127巷(含11弄),12.6,2.120147874,22.80%,永吉路,永吉路127巷30弄
永吉路A,70.89052288,1.603532264,18.50%,松山路,松信路
永吉路B,40.21400159,1.599212356,19.00%,忠孝東路六段,松山路
永吉平面停車場,13.83167082,2.400615345,26.00%,永吉路120巷22弄,
雨農路,143.8091954,1.224734506,10.50%,雨農橋,中正路
雨聲街,275.3165877,1.531415319,13.20%,情報局,雙溪街
玉成街,14.44795784,2.430437917,30.70%,忠孝東路6段,八德路4段
玉成街A,180.1578947,2.242556918,6.20%,忠孝東路5段,成福路
玉門街,35.96210269,1.987539267,16.10%,庫倫街,敦煌路間
玉門街(大型車),2.17032967,0.653102337,25.60%,庫倫街,敦煌路間
育仁路,100.0707071,0.985747009,4.90%,大業路,光明路
育仁路,100.0707071,0.985747009,4.90%,光明路,大業路
育仁路,100.0707071,0.985747009,4.90%,光明路,大業路
裕民二路,129,1,5.70%,裕民一路,東華街1段
裕民二路33巷,48.68735632,1.588277728,15.60%,裕民一路,裕民二路
裕民二路49巷,27.625,1.290322581,12.80%,裕民二路,裕民六路
裕民六路,65.00824742,1.564823948,14.50%,裕民二路,東華街
裕民四路,11.09090909,0.96,7.40%,裕民二路,石牌路2段
裕民一路,18.7954023,1.16720459,19.90%,振華街,裕民一路
園區街,51.19866667,2.059089766,18.00%,三重路,重陽路
樟新街,27.84,1.809983897,20.20%,木新路3段,一壽橋
長安東路2段153巷,17.07701149,1.97672759,25.80%,朱崙街,長安東路2段
長安東路二段A,14.69416058,1.435670834,22.90%,新生北路,松江路
長安東路二段B,17.63372093,1.458850425,15.90%,復興北路,建國北路
長安東路二段C,7.615781711,1.259092568,23.10%,建國北路,松江路
長安東路一段,39.78581871,1.8209936,16.60%,林森北路,新生北路
長安東路一段52巷,9.97698504,1.785999864,23.40%,長安東路,市民大道
長安西路A,30.11906677,1.665087762,22.30%,太原路,延平北路
長安西路B,49.82753036,1.680284488,17.70%,延平北路,環河北路
長春路137巷,15.90344828,2.064867501,28.20%,長春路,松江路170巷
長春路258巷,4.710344828,1.509320905,25.50%,長春路,南京東路3段89巷
長春路A,22.87322611,1.450578396,21.00%,中山北路,新生北路
長春路B,56.20320856,2.118164375,19.40%,復興北路,敦化北路
長春路C,32.85924007,1.635482772,23.10%,建國北路,龍江路
長春路D,32.03148302,1.798259431,22.50%,松江路,建國北路
長春路E,37.00082305,1.64314749,19.70%,龍江路,復興北路
長春路F,58.01722724,1.714159228,20.60%,新生北路,松江路
長春路G,62.3908046,1.224859898,13.00%,林森北路,新生北路
長春路H(大車),3.153132251,0.711409396,25.80%,中山北路,林森北路
長沙街二段,86.87581699,1.727963526,15.10%,中華路,環河南路
長沙街一段（累進計時）,79.87816092,1.845468072,27.00%,中華路,桃源街
長順、雙園堤外平面大型車,77.60046189,0.400145545,1.40%,大型車,
長順、雙園堤外平面小型車,241.9182028,0.396977381,1.60%,小型車,
長順街,31.39488636,1.223053279,7.70%,艋舺大道,環河南路
長順街60巷,44.21658986,0.372815059,2.00%,長順街,萬板大橋
長順街底堤外,28.17592593,0.41971405,3.10%,長順街底水門,萬板橋
長興街,23.24367816,1.977680446,20.40%,基隆路,芳蘭路
詔安街,113.7619048,1.837645537,7.40%,南海路,重慶南路3段
振華街,24.14795383,1.208604052,17.10%,明德路,裕民一路
振興街,4.697459584,1.719146775,20.80%,石牌路,明德路
鎮江街,5.053571429,1.461638492,30.60%,青島東路,擠南路1段
鄭州路,414.8965517,1,11.00%,延平北路,承德路
鄭州路143巷,14.15962441,2.388765855,24.60%,鄭州路,長安西路
鄭州路26巷,23.80369515,2.726568006,14.10%,鄭州路,鄭州路26巷底
植福路,318.0645695,1.54625467,10.10%,敬業二路,樂群二路
植福路286巷,110.1169811,1.769114567,11.00%,敬業四路,堤頂大道西側
指南路2段,6.79,1.361353712,23.00%,指南路1段,指南路3段
至誠公園旁無名巷,79.22222222,2.9,8.60%,福林街,至誠路1段
至誠路二段,92.06896552,1.377245407,12.60%,至誠路一段305巷,中山北路五段
至誠路一段,39.74082569,1.316489719,7.10%,雨農路,至誠路一段305巷
至善公園平面,35.75885329,1,1.90%,至善路一段,至善公園西側
至善路2段,25.73913043,1,9.20%,至善路2段242巷,中社路1段
至善路二段,150.6854305,1,6.30%,故宮,臨溪路
至善路一段,76.89134438,1,5.00%,臨溪路,福林路
至善路一段A大車,10.45101664,1,14.80%,臨溪路,福林路
致遠三路,14,1,6.50%,裕民二路,石牌路2段
致遠一路1段,14.14516129,0.911823647,6.50%,自強街,明德路
中華路二段,129.0138549,1.448555219,14.70%,水源路,西藏路
中華路二段300巷13弄,19.42028986,2.228097141,20.30%,中華路二段300巷,
中華路二段315巷,5.48372093,1.442916533,23.90%,中華路二段,中華路2段315巷5弄
中華路二段364巷17弄及24弄,39.38666667,2.279007837,12.70%,中華路二段364巷,
中華路二段39巷,29.50344828,1.267581047,24.80%,中華路,延平南路
中華路二段416巷,58.25279642,2.355611342,55.00%,萬大路237巷13弄,中華路2段
中華路二段443巷,35.11264368,1.804659984,10.90%,寧波西街,中華路2段467巷
中華路二段484巷,10.05080831,2.010953392,25.80%,中華路2段,國興路
中華路二段75巷,67.72870249,1.277336951,12.10%,中華路,廣州街8巷
中坡北路,20.98444648,1.912858403,34.30%,松隆路,忠孝東路五段
中坡南路,66.24088748,1.676538908,16.40%,忠孝東路五段,福德街
中山北路5段6段,31.72183908,2.555768354,25.40%,至誠路2段,忠誠路1段
中山北路7段,49.61111111,1.858585859,15.50%,中山北路7段191巷,中山北路7段227巷
中山北路二段39巷,15.27126437,1.75215871,28.40%,中山北路,林森北路
中山北路二段45巷,8.926436782,1.401987225,21.20%,林森北路,中山北路
中山北路二段77巷,77.2137931,2.02219976,22.90%,中山北路,林森北路
中山北路六段,238.8174863,1.475967475,17.80%,中山北路六段776巷,福國路
中山北路六段2巷,2.451612903,2.803506209,45.10%,忠誠公園,雨聲街
中山北路六段405巷,27.02988506,1.289963567,27.50%,中山北路6段,中山北路6段441巷
中山北路七段,91.70066519,1.437539534,21.00%,天母西路,中山北路7段162巷
中山北路三段,4.957471264,2.344089358,43.80%,撫順公園週邊,
中山北路五段A,24.5483871,1.692017963,13.70%,至誠路二段,中山北路六段
中山北路五段B,45.90373906,1.718307682,13.30%,福林橋,福林路
中山北路五段C機車,453.0644567,1,5.30%,小北街,劍潭路
中山北路一段,150.2488479,1,7.80%,市民大道,忠孝西路
中山北路一段53巷,36.99770115,2.071522214,20.40%,天津街,林森北路
中山路,55.58333333,1,4.20%,溫泉路,光明路
中山南路（機車計次）,73.74482759,1,16.40%,忠孝西路,青島西路
中山南路2巷（機車計次）,282,1,13.80%,中山南路,公園路
中山南路二巷臨時平面,149.8870968,1.251956174,17.10%,中山南路,公園路
中央北路1段,14,0.93442623,8.50%,大業路,光明路
中央北路2段,98.66666667,0.992668622,4.80%,新興路,大業路
中正路,117.7982709,1.315071929,11.20%, 文昌路,承德路四段
中正路A,27.7239777,1.610137852,28.20%,雨農路,中山北路五段
忠誠路二段,166.514574,1.57959656,19.20%,德行東路,天母東路
忠誠路一段,128.4922907,1.603175671,17.90%,德行東路,中山北路六段
忠孝東路二段,36.07894737,0.809489619,8.80%,金山北路,新生南路北側
忠孝東路二段134巷,9.141752577,1.630598993,26.70%,忠孝東路,濟南路
忠孝東路三段,113.3883677,0.792061644,5.90%,新生南路,建國南路北側
忠孝東路三段251巷,22.4371134,2.073037705,45.90%,安東街,忠孝東路三段251巷
忠孝東路五段,60.83836735,1.543771138,14.30%,中坡北路,松山路
忠孝東路五段236巷27弄,25.40689655,2.344316582,19.70%,松德路168巷12弄,忠孝東路五段236巷
忠孝東路五段236巷45弄,5.131034483,2.236753324,38.80%,忠孝東路五段236巷45弄,忠孝東路五段372巷
忠孝東路五段236巷57弄,12.73103448,2.181165592,24.90%,忠孝東路五段236巷,忠孝東路五段372巷
忠孝東路五段372巷28弄,18.82951289,2.321113234,171.00%,忠孝東路五段372巷,忠孝東路五段236巷
忠孝西路二段,88.50268199,1.77303412,17.80%,中華路,昆明街
忠孝西路二段16巷,41.16866359,1.03378706,16.30%,忠孝西路,洛陽街
忠孝西路橋下,16.26036866,2.738264946,37.80%,重慶南路,忠孝西路
忠孝西路一段(機車計次)A,207.7603687,1,8.30%,延平北路,重慶北路北側
忠孝西路一段(機車計次)B,123.8568129,1,11.80%,重慶南路,博愛路
忠孝西路一段三角窗（機車計次）,111.4883721,1,6.70%,北平西路,忠孝西路
忠義街,73.45106383,1.401527128,15.10%,忠誠路1段,德行東路
重慶北路3段223巷,5.620689655,1.415048544,29.80%,大龍街,重慶北路3段
重慶北路4段,102.2595674,1.716998169,14.10%,中正路,敦煌路
重慶北路三段,50.55093555,1.076121354,11.30%,酒泉街,慶昌橋
重慶北路三段,50.55093555,1.076121354,11.30%,民權西路,酒泉街
重慶北路一段,6.880327869,0.640999227,22.20%,南京西路,市民大道
重慶南路二段8巷,11.06382979,1.987951807,11.90%,重慶南路二段8巷10弄,重慶南路二段8巷底
重慶南路一段126巷,1.867665418,1.510651248,41.50%,博愛路,重慶南路1段
重慶南路一段136巷（累進計時）,59.30444965,1.171443231,15.80%,重慶南路一段,博愛路
重慶南路一段B,126.5950992,1,8.60%,忠孝西路,襄陽路
重慶南路一段C,1.096774194,2.20234869,89.60%,襄陽路,開封街
重陽路,266.3153226,2.380343023,10.40%,南湖大橋下,向陽路
重陽路125巷,41.21383648,1.92977817,10.00%,松河街,重陽路
重陽路187巷,27.11835106,2.103827032,11.20%,松河街,重陽路
重陽路57巷,55.35714286,2.590186279,15.30%,松河街,重陽路
洲美快速道路橋下(大客車),19.18518519,1.434715822,2.50%,,
洲子街A,127.6183908,1.467924875,14.40%,基湖路3巷,港墘路
洲子街B(機車),379.4712644,0.862420833,8.90%,港墘路,基湖路3巷
朱崙街,117.3518367,1.883531807,16.30%,建國北路,復興北路
珠海路,91.18055556,1,5.10%,登山路,雙全街
莊敬路,111.0526316,1.521565638,18.00%,松仁路,松勤街
莊敬路239巷,2.03699422,2.258227098,54.00%,松智路,莊敬路
莊敬路325巷45弄,76.99310345,2.003978316,17.10%,莊敬路239巷,松智路